Scene,Shot,Script Content,Shot Description,Characters,Camera Work,Shot Type,Completed
1,1,"St. Louis, 2011 or 2012. The exact year has faded into legend, but the events of that night remain etched in battle rap lore.","Wide shot of the St. Louis skyline at night, with the city lights twinkling, setting the tone for a legendary night.",,,,False
1,2,"O-Red had just faced off against Jay Huggins, a match that earned him a mere forty dollars but immeasurable street cred.","Close-up of O-Red's face, glistening with sweat and triumph, reflecting a mix of exhaustion and pride.",O-Red,,,False
1,3,"The event, organized by local hero Aye Verb, had drawn a who's who of battle rap talent: Calico, Hitman Holla, Conceited, Hollow Da Don, and Big T, among others.","Medium shot of the crowded venue, capturing the energy and excitement of the audience and battlers.","Aye Verb, Calico, Hitman Holla, Conceited, Hollow Da Don, Big T",,,False
2,1,The dimly lit club pulsed with heavy bass and anticipation.,"Establishing shot of the club interior, low lighting and vibrant colors creating a moody atmosphere filled with energy.",,,,False
2,2,"O-Red, still riding the high of his battle, scanned the crowd.","Over-the-shoulder shot of O-Red looking out into the crowd, focusing on a beautiful woman.",O-Red,,,False
2,3,"Conceited, the compact firecracker from New York, had also spotted the girl.","Close-up on Conceited's face, eyes darting between the girl and O-Red, showcasing his calculating demeanor.",Conceited,,,False
3,1,"As the club began to empty, O-Red's world tilted on its axis.",Medium shot of O-Red's shocked expression as he watches Calico approach his girl.,"O-Red, Calico",,,False
3,2,"O-Red, left in the dust, felt the first pangs of what would become a legendary night of L's.","Wide shot of O-Red standing alone as Calico and the girls drive away, emphasizing his isolation.",O-Red,,,False
4,1,The townhouse on Kings Highway looked unassuming from the outside...,"Wide shot of the townhouse, contrasting its mundane exterior with the chaos inside.",,,,False
4,2,"O-Red, trying to salvage his pride, positioned himself on the couch next to the girl he'd been pursuing.","Medium shot of O-Red on the couch, visibly tense as he tries to engage with the girl.","O-Red, girl",,,False
4,3,"It was then that Hitman Holla, riding high on his local celebrity status, decided to make his presence known.","Close-up on Hitman Holla as he boasts, showcasing his confidence and bravado.",Hitman Holla,,,False
5,1,"As the night wore on, O-Red watched helplessly as Calico whispered something in his girl's ear.","Close-up of Calico whispering in the girl's ear, capturing the moment's intimacy.","O-Red, Calico, girl",,,False
5,2,"Calico answered, slightly out of breath and grinning like the cat that got the cream.","Medium shot of Calico at the door, looking smug while opening it.","Calico, group",,,False
5,3,What happened next is a blur of action and reaction.,"Fast-paced montage of shocked faces as the group bursts into the room, with quick cuts for dramatic effect.","O-Red, group",,,False
6,1,"O-Red, feeling a potent mix of vindication and regret, followed the girl outside to smooth things over.","Medium shot of O-Red stepping outside, the night air thick with tension.","O-Red, girl",,,False
6,2,O-Red tried to console the distraught girl.,"Close-up of O-Red reaching out to the girl, his expression earnest and regretful.","O-Red, girl",,,False
